web-scraper-order,web-scraper-start-url,pincode
"1612799095-310","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560037"
"1612799095-137","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-248","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560010"
"1612799095-312","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560033"
"1612799095-379","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560034"
"1612799095-210","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-351","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560010"
"1612799095-363","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560080"
"1612799095-302","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560048"
"1612799095-161","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-138","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560045"
"1612799095-353","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-153","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560085"
"1612799095-289","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560036"
"1612799095-245","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-392","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560028"
"1612799095-263","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560066"
"1612799095-240","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560076"
"1612799095-329","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560073"
"1612799095-372","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560027"
"1612799095-242","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562157"
"1612799095-247","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560038"
"1612799095-180","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560068"
"1612799095-136","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-190","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560053"
"1612799095-361","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560025"
"1612799095-324","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560099"
"1612799095-347","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560058"
"1612799095-227","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560102"
"1612799095-335","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560039"
"1612799095-222","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560087"
